Monthly searches,When I search for...,Then I...,see...,in the top ... results
"36,000",jobs,should,https://www.gov.uk/jobsearch,1
"10,000",job search,should,https://www.gov.uk/jobsearch,1
"5,500",esa,should,https://www.gov.uk/benefits-adviser,5
"5,500",esa,should,https://www.gov.uk/employment-support-allowance,1
"5,500",income support,should,https://www.gov.uk/benefits-adviser,5
"5,500",income support,should,https://www.gov.uk/income-support,1
"5,000",job,should,https://www.gov.uk/jobsearch,1
"4,500",cold weather payments,should,https://www.gov.uk/cold-weather-payment,1
"4,500",contact,should,https://www.gov.uk/contact-jobcentre-plus,5
"4,500",contact,should,https://www.gov.uk/contact-the-dvla,5
"4,500",passport,should,https://www.gov.uk/renew-adult-passport,3
"4,500",passport,should,https://www.gov.uk/get-a-child-passport,3
"4,500",passport,should,https://www.gov.uk/apply-first-adult-passport,3
"4,000",cold weather payment,should,https://www.gov.uk/cold-weather-payment,1
"4,000",jsa,should,https://www.gov.uk/benefits-adviser,5
"4,000",jsa,should,https://www.gov.uk/jobsearch,5
"4,000",jsa,should,https://www.gov.uk/jobseekers-allowance,1
"4,000",maternity,should,https://www.gov.uk/plan-maternity-leave,3
"4,000",maternity,should,https://www.gov.uk/maternity-paternity-calculator,3
"4,000",maternity,should,https://www.gov.uk/calculate-your-maternity-pay,3
"4,000",pension credit,should,https://www.gov.uk/benefits-adviser,10
"4,000",pension credit,should,https://www.gov.uk/pension-credit,3
"4,000",pension credit,should,https://www.gov.uk/pension-credit-calculator,3
"4,000",pensions,should,https://www.gov.uk/state-pension,5
"4,000",pensions,should,https://www.gov.uk/calculate-state-pension,3
"4,000",pensions,should,https://www.gov.uk/workplace-pensions,5
"4,000",redundancy,should,https://www.gov.uk/redundant-your-rights,3
"4,000",redundancy,should,https://www.gov.uk/calculate-your-redundancy-pay,1
"4,000",sorn,should,https://www.gov.uk/register-sorn-statutory-off-road-notification,1
"4,000",theory test,should,https://www.gov.uk/book-a-driving-theory-test,3
"4,000",theory test,should,https://www.gov.uk/practise-your-driving-theory-test,3
"3,500",cv,should,https://www.gov.uk/jobsearch,1
"3,500",pension,should,https://www.gov.uk/state-pension,5
"3,500",pension,should,https://www.gov.uk/calculate-state-pension,3
"3,500",pension,should,https://www.gov.uk/workplace-pensions,5
"3,500",rapid reclaim,should,https://www.gov.uk/jobseekers-allowance,1
"3,500",student finance,should,https://www.gov.uk/apply-for-student-finance,5
"3,500",student finance,should,https://www.gov.uk/apply-online-for-student-finance,5
"3,500",student finance,should,https://www.gov.uk/student-finance,3
"3,500",student finance,should,https://www.gov.uk/student-finance-calculator,3
"3,500",universal jobmatch,should,https://www.gov.uk/advertise-job,2
"3,500",universal jobmatch,should,https://www.gov.uk/jobsearch,1
"3,000",crb,should,https://www.gov.uk/disclosure-barring-service-check,2
"3,000",crb,should,https://www.gov.uk/employers-checks-job-applicants,5
"3,000",driving test,should,https://www.gov.uk/book-practical-driving-test,3
"3,000",driving test,should,https://www.gov.uk/book-a-driving-theory-test,5
"3,000",jobsearch,should,https://www.gov.uk/jobsearch,1
"3,000",state pension,should,https://www.gov.uk/benefits-adviser,10
"3,000",state pension,should,https://www.gov.uk/state-pension,3
"3,000",state pension,should,https://www.gov.uk/calculate-state-pension,3
"2,500",attendance allowance,should,https://www.gov.uk/attendance-allowance,1
"2,500",attendance allowance,should not,https://www.gov.uk/school-attendance-absence,5
"2,500",carers allowance,should,https://www.gov.uk/carers-allowance,1
"2,500",change of address,should,https://www.gov.uk/change-address-driving-licence,3
"2,500",change of address,should,https://www.gov.uk/change-name-address-v5c,5
"2,500",change of address,should,https://www.gov.uk/tell-hmrc-about-a-change-of-name-or-address,3
"2,500",council tax,should,https://www.gov.uk/council-tax,1
"2,500",crisis loan,should,https://www.gov.uk/budgeting-loans,3
"2,500",crisis loan,should,https://www.gov.uk/crisis-loans,1
"2,500",dla,should,https://www.gov.uk/disability-living-allowance-dla-rates,3
"2,500",dla,should,https://www.gov.uk/dla-disability-living-allowance-benefit,1
